,file_path,sentence,section,0,0_span,weight_0
930,/content/biofuel_result/PMC11865889/sections/2_body/3_discussions_and_conclusions/7_p.xml,"Developing regions for example, China, India, and ROA combined had a substantial share of the global annual total APDs (80.5%–84.3%) and YLLs (81.02%–84.13%) associated with SB‐attributable PM 2.5  and MDA8 O 3  exposure during 2000–2019.",DIS,India,"(39, 44)",1
932,/content/biofuel_result/PMC11865889/sections/2_body/3_discussions_and_conclusions/7_p.xml,"On the other hand, developed regions like WEurope, the USA, Canada, and ROW, only had 3.9%–5.1% of the global total APDs and 2.9%–3.8% of the global annual total YLLs during the study period.",DIS,Canada,"(60, 66)",1
943,/content/biofuel_result/PMC11865889/sections/2_body/3_discussions_and_conclusions/2_p.xml,"Maximum ambient PM 2.5  and O 3  concentrations were up to 23.61  μ g /m 3  and 13.69 ppbv respectively, both estimated in ROA in 2010, along with major hotspots located over China, India, SSA, and NAME.",DIS,India,"(182, 187)",1
955,/content/biofuel_result/PMC11865889/sections/2_body/3_discussions_and_conclusions/6_p.xml,"The largest influence of such double counting would mostly be observed at locations with common hotspots of elevated PM 2.5  and O 3  exposure respectively such as northern India, eastern China, central Europe, and Nigeria.",DIS,"India, Nigeria","(173, 178), (215, 222)",2
978,/content/biofuel_result/PMC11865889/sections/2_body/3_discussions_and_conclusions/8_p.xml,"Chinas recent initiatives should be closely followed by the other regions, especially LMICs like India, ROA, SSA, and NAME which may reduce the overall impacts of solid biofuel emissions on air quality, and health impacts.",DIS,India,"(98, 103)",1
1050,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/3_regulatory_frameworks/1_p.xml,"In Southeast Asia, Indonesia has introduced sustainability certification for palm oil producers to mitigate the environmental impacts of biodiesel feedstock production.",DIS,Indonesia,"(19, 28)",1
1054,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/5_education_and_awareness/1_p.xml,"For example, Brazil’s education initiatives on flex-fuel vehicles and ethanol use contributed to widespread public acceptance.",DIS,Brazil,"(13, 19)",1
1055,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/5_education_and_awareness/1_p.xml,"In India, awareness efforts as part of the Ethanol Blending Program highlight the importance of ethanol-blended fuels in reducing emissions and increasing energy security.",DIS,India,"(3, 8)",1
1059,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/2_subsidies_and_incentives/1_p.xml,"For example, Brazil’s Proálcool program demonstrates how ethanol subsidies help establish bioethanol as a viable fuel alternative.",DIS,Brazil,"(13, 19)",1
1060,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/2_subsidies_and_incentives/1_p.xml,"In India, the Ethanol Blending Program incentivizes sugar mills to produce ethanol, helping reduce oil imports and promoting energy self-reliance.",DIS,India,"(3, 8)",1
1065,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/7_innovation_and_life_cycle_inte/1_p.xml,"In developing regions, innovations such as decentralized biogas plants in rural India and community-led bioenergy systems in East Africa demonstrate how localized solutions can align with global sustainability goals while addressing unique regional needs.",DIS,India,"(80, 85)",1
1068,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/8_infrastructure_development_and/1_p.xml,"For example, in Latin America, countries such as Brazil and Argentina have invested heavily in transportation networks and biorefineries to facilitate ethanol and biodiesel production.",DIS,"Brazil, Argentina","(49, 55), (60, 69)",2
1069,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/8_infrastructure_development_and/1_p.xml,"Similarly, India has developed dedicated bioethanol plants and pipelines to expand the ethanol blending program, enabling efficient distribution across regions.",DIS,India,"(11, 16)",1
