keyword,count,Category
wheat,11,Abiotic Stress
economic value,11,Miscellaneous
biocontrol agents,11,Miscellaneous
spikelet sterility,11,Miscellaneous
national average,11,Miscellaneous
germination,11,Growth & Development
anaerobic germination,11,Growth & Development
yield attributes,10,Yield & Productivity
bakanae disease,10,Diseases
training,10,Research & Education
amf,10,Biocontrol
rice ecosystems,10,Crop & Plant
institute research council,10,Research & Education
seed vigour index,10,Seed Science
rice ecologies,10,Crop & Plant
potassium silicate,10,Nutrient Management
eastern india,10,Geography
transpiration rate,10,Physiology
multiple abiotic stresses,10,Abiotic Stress
heat stress,10,Abiotic Stress
resistant starch,10,Grain Quality & Nutrition
value addition,10,Miscellaneous
food security,10,Food & Processing
ig 23,10,Miscellaneous
photosynthetic enhancement,10,Miscellaneous
rice consumption,10,Crop & Plant
institute management committee,10,Miscellaneous
highest grain yield,10,Yield & Productivity
aicrip trials,10,Institutions
grain production,10,Miscellaneous
central rice research institute,10,Crop & Plant
carbendazim,10,Miscellaneous
rice germplasm accessions,10,Crop & Plant
power weeder,9,Weed Management
brown rice,9,Crop & Plant
brown planthopper,9,Crop & Plant
gall midge resistance,9,Insect Pests
gall midge,9,Insect Pests
association mapping panel,9,Miscellaneous
fym,9,Miscellaneous
bph resistance,9,Miscellaneous
cvrc,9,Miscellaneous
flag leaf width,9,Morphological Traits
research advisory committee,9,Research & Education
oryzae,9,Miscellaneous
drought stress,9,Abiotic Stress
biomass,9,Miscellaneous
rice improvement,9,Crop & Plant
rice stem borer,9,Crop & Plant
west bengal,9,Miscellaneous
high yielding rice varieties,9,Crop & Plant
population,9,Miscellaneous
cooking,9,Food & Processing
rice fields,9,Crop & Plant
submergence stress,9,Abiotic Stress
chlorophyll content,9,Physiology
south asia,8,Miscellaneous
system productivity,8,Yield & Productivity
osmotic stress,8,Abiotic Stress
breeder seed production,8,Plant Breeding
natural farming,8,Agronomy
cultivars,8,Varieties & Cultivars
methylation,8,Miscellaneous
genome,8,Genetics & Genomics
streptomycin,8,Miscellaneous
wild rice accessions,8,Crop & Plant
grain nutritional quality,8,Grain Quality & Nutrition
dhenkanal district,8,Miscellaneous
tmp,8,Miscellaneous
bihar,8,Geography
water deficit stress,8,Abiotic Stress
ipm,8,Miscellaneous
nutrient management,8,Miscellaneous
brown manuring,8,Miscellaneous
pulses,8,Miscellaneous
peroxidase,8,Physiology
rice landraces,8,Crop & Plant
rice bran,8,Crop & Plant
moisture content,8,Miscellaneous
brown plant hopper,8,Crop & Plant
population structure,8,Miscellaneous
split plot design,8,Miscellaneous
rainfed lowland,8,Miscellaneous
abiotic stress tolerance,8,Abiotic Stress
paddy,7,Crop & Plant
rice leaf folder,7,Crop & Plant
high protein rice,7,Crop & Plant
arc collections,7,Miscellaneous
transgenic lines,7,Miscellaneous
institute research projects,7,Research & Education
training programmes,7,Research & Education
rice farmers,7,Crop & Plant
superoxide dismutase,7,Diseases
soil health,7,Miscellaneous
grain type,7,Miscellaneous
paddy straw,7,Crop & Plant
dry direct seeded rice,7,Crop & Plant
pigmented rice,7,Crop & Plant
philippines,7,Miscellaneous
grain weight,7,Miscellaneous
rice root knot nematode,7,Crop & Plant
rice husk,7,Crop & Plant
absorption dips,7,Miscellaneous
citric acid,7,Miscellaneous
cooking quality,7,Grain Quality & Nutrition
oryza,7,Miscellaneous
susceptible varieties,7,Varieties & Cultivars
grain discoloration,7,Miscellaneous
rice pests,7,Crop & Plant
vegetative stage drought tolerance,7,Abiotic Stress
ghg emissions,7,Miscellaneous
maize,7,Miscellaneous
lc50,7,Miscellaneous
wet season,7,Miscellaneous
thiamethoxam,7,Miscellaneous
organic farming,7,Agronomy
spikelet fertility,7,Miscellaneous
tuber crops,7,Crop & Plant
fungicide,7,Crop Protection
bacterial blight resistance,7,Diseases
fl478,7,Miscellaneous
haplotypes,7,Miscellaneous
germplasm accessions,6,Germplasm & Genetic Resources
seed vigour,6,Seed Science
insecticides,6,Miscellaneous
pm rice,6,Crop & Plant
gen,6,Miscellaneous
hydroponics,6,Miscellaneous
gw as,6,Miscellaneous
evaporation,6,Miscellaneous
post application,6,Miscellaneous
higher grain yield,6,Yield & Productivity
proteins,6,Grain Quality & Nutrition
fungi,6,Miscellaneous
rpa,6,Miscellaneous
pot culture,6,Miscellaneous
mycelial growth,6,Miscellaneous
pgrc,6,Miscellaneous
heat stress tolerance,6,Abiotic Stress
genomic region,6,Miscellaneous
ig 40,6,Miscellaneous
zero tillage,6,Miscellaneous
phenotypic variation,6,Miscellaneous
sheath rot disease,6,Abiotic Stress
fecundity,6,Miscellaneous
phytic acid,6,Miscellaneous
wild species,6,Miscellaneous
qtl,6,Miscellaneous
irrigation,6,Water Management
weed free check,6,Weed Management
boiled rice,6,Crop & Plant
breeder seeds,6,Plant Breeding
management,6,Miscellaneous
defense enzymes,6,Miscellaneous
brown gora,6,Miscellaneous
aicrp,6,Miscellaneous
rhizoctonia solani,6,Miscellaneous
untreated control,6,Miscellaneous
madhya pradesh,6,Miscellaneous
cephalonica,6,Miscellaneous
uttar pradesh,6,Miscellaneous
low molecular weight organic acids,6,Miscellaneous
nutrient management options,6,Miscellaneous
ligr,6,Miscellaneous
standardization,6,Miscellaneous
seed priming,6,Seed Science
rice hybrids,6,Crop & Plant
breeder seed,6,Plant Breeding
anthocyanin content,6,Miscellaneous
seed germination,6,Growth & Development
rice stakeholders,6,Crop & Plant
andhra pradesh,6,Miscellaneous
eggs,6,Miscellaneous
bio efficacy,6,Miscellaneous
microphylla,6,Crop & Plant
ir 64,6,Miscellaneous
anthocyanins,5,Miscellaneous
water use efficiency,5,Water Management
zinc,5,Miscellaneous
arc,5,Miscellaneous
low phosphorus tolerance,5,Nutrient Management
survival rate,5,Miscellaneous
tebuconazole,5,Miscellaneous
genomic regions,5,Miscellaneous
magnesium oxide nanoparticles,5,Miscellaneous
longistaminata,5,Miscellaneous
herbicide resistance,5,Crop Protection
small streams,5,Miscellaneous
germplasms,5,Germplasm & Genetic Resources
candidate genes,5,Genetics & Genomics
aroma,5,Miscellaneous
balangir district,5,Miscellaneous
biochemical changes,5,Miscellaneous
biochemical traits,5,Miscellaneous
weed population,5,Weed Management
bipolaris oryzae,5,Miscellaneous
rice grains,5,Crop & Plant
genetic diversity analysis,5,Genetics & Genomics
rice plants,5,Crop & Plant
grasses,5,Miscellaneous
seedling stage,5,Growth & Development
rice germplasms,5,Crop & Plant
bacterial leaf blight,5,Morphological Traits
aicrpr,5,Miscellaneous
sheath blight pathogen,5,Abiotic Stress
ngr lines,5,Miscellaneous
genetic resources,5,Genetics & Genomics
genetic stock,5,Genetics & Genomics
isogenic lines,5,Miscellaneous
organic nutrient management,5,Miscellaneous
crude sap,5,Miscellaneous
ipa1,5,Miscellaneous
ig 72,5,Miscellaneous
restorer line,5,Miscellaneous
flavonoids,5,Miscellaneous
resource use efficiency,5,Miscellaneous
trifloxystrobin,5,Miscellaneous
crri varieties,5,Varieties & Cultivars
economic surplus,5,Miscellaneous
early seedling growth rate,5,Growth & Development
fermentation,5,Miscellaneous
sipepc,5,Miscellaneous
prime editing,5,Miscellaneous
iron,5,Miscellaneous
ftir,5,Miscellaneous
krishi vigyan kendras,5,Miscellaneous
rdf,5,Miscellaneous
crop geometry,5,Crop & Plant
qualitative traits,5,Miscellaneous
yield enhancement,5,Yield & Productivity
ecosystems,5,Climate & Environment
gdp,5,Miscellaneous
rice blast,5,Crop & Plant
varietal development,5,Miscellaneous
editing efficiency,5,Miscellaneous
ril population,5,Miscellaneous
test weight,5,Miscellaneous
rainfed lowlands,5,Miscellaneous
africa,5,Miscellaneous
novel transcripts,4,Miscellaneous
ir29,4,Miscellaneous
sodium exclusion,4,Miscellaneous
maximum tillering,4,Morphological Traits
straw quality,4,Grain Quality & Nutrition
input use efficiency,4,Miscellaneous
mean grain yield,4,Yield & Productivity
nilaparvata lugens,4,Miscellaneous
soil application,4,Miscellaneous
integrated weed management,4,Weed Management
ngr,4,Miscellaneous
stress prone rice ecologies,4,Crop & Plant
osmotic stress tolerance,4,Abiotic Stress
inspire,4,Miscellaneous
soil moisture monitoring,4,Miscellaneous
improved tapaswini,4,Miscellaneous
oratoria,4,Miscellaneous
lc50 value,4,Miscellaneous
lc30,4,Miscellaneous
stagnant flooding stress,4,Abiotic Stress
source nursery,4,Miscellaneous
lowland rice,4,Crop & Plant
mac,4,Miscellaneous
odisha landraces,4,Germplasm & Genetic Resources
lamp,4,Miscellaneous
short bold grain,4,Miscellaneous
multiple stresses,4,Abiotic Stress
irri,4,Miscellaneous
hrd cell,4,Miscellaneous
japonicum,4,Miscellaneous
straw,4,Miscellaneous
leaf rolling,4,Morphological Traits
mapping panel,4,Miscellaneous
parasitoid,4,Biocontrol
moisture stress condition,4,Abiotic Stress
nrri regional station,4,Institutions
survival percentage,4,Miscellaneous
rpm1,4,Miscellaneous
propiconazol,4,Miscellaneous
herbicides,4,Crop Protection
bioactive compounds,4,Miscellaneous
tripura,4,Miscellaneous
trichogramma,4,Miscellaneous
weed dynamics,4,Weed Management
relative water content,4,Water Management
domestic consumption,4,Miscellaneous
sedges,4,Miscellaneous
rice lines,4,Crop & Plant
rbc,4,Miscellaneous
drought conditions,4,Abiotic Stress
weed species,4,Weed Management
executive summary,4,Miscellaneous
transgenics,4,Miscellaneous
rainfed upland,4,Miscellaneous
edited lines,4,Miscellaneous
rice production system,4,Crop & Plant
elnet,4,Miscellaneous
coastal ecology,4,Ecology & Biodiversity
punctata,4,Miscellaneous
azolla,4,Miscellaneous
estb mgmt hph,4,Miscellaneous
breeding,4,Plant Breeding
rice germplasm lines,4,Crop & Plant
harvest index,4,Miscellaneous
rice field,4,Crop & Plant
viviparity,4,Miscellaneous
virulent isolate,4,Miscellaneous
continuum removal,4,Miscellaneous
coastal districts,4,Miscellaneous
cooked rice,4,Crop & Plant
rice equivalent yield,4,Crop & Plant
vocs,4,Miscellaneous
cr dhan 212,4,Miscellaneous
cr dhan 320,4,Miscellaneous
vegetable powder,4,Miscellaneous
cr dhan 329,4,Miscellaneous
cr dhan 805,4,Miscellaneous
scirpophaga incertulas,4,Miscellaneous
varieties,4,Varieties & Cultivars
validation,4,Miscellaneous
sclerotium rolfsii,4,Miscellaneous
upland rice varieties,4,Crop & Plant
crr 771,4,Miscellaneous
rice farms,4,Crop & Plant
assimilation,4,Miscellaneous
training programs,4,Research & Education
population parameters,4,Miscellaneous
fodder quality,4,Grain Quality & Nutrition
functional properties,4,Miscellaneous
anaerobic germination ability,4,Growth & Development
gene bank,4,Genetics & Genomics
technology transfer,4,Miscellaneous
genotyping,4,Miscellaneous
rice stem borers,4,Crop & Plant
pollen viability,4,Miscellaneous
wind velocity,4,Miscellaneous
rm205,4,Miscellaneous
system based phosphorus management,4,Nutrient Management
sweet potato,4,Miscellaneous
physiological traits,4,Miscellaneous
ac 41585,4,Miscellaneous
gw as analysis,4,Miscellaneous
ac 39843,4,Miscellaneous
potassium silicate amendment,4,Nutrient Management
coastal saline areas,4,Miscellaneous
whorl maggot,4,Miscellaneous
farming systems,4,Agronomy
white gora,4,Miscellaneous
antioxidant content,4,Miscellaneous
propiconazole,4,Miscellaneous
premium seeds,4,Seed Science
rice research workers,4,Crop & Plant
rice sector,4,Crop & Plant
root density,3,Morphological Traits
root diameter,3,Morphological Traits
nucleus seed,3,Seed Science
nano urea,3,Miscellaneous
root dip treatment,3,Morphological Traits
snorkel,3,Miscellaneous
root dry weight,3,Morphological Traits
rm242,3,Miscellaneous
rice export,3,Crop & Plant
root traits,3,Morphological Traits
root volume,3,Morphological Traits
ngrs,3,Miscellaneous
nitrate,3,Miscellaneous
rtd,3,Miscellaneous
rice tungro disease,3,Crop & Plant
snp markers,3,Miscellaneous
rice var,3,Crop & Plant
rice soils,3,Crop & Plant
neemastra,3,Miscellaneous
rice nurseries,3,Crop & Plant
rice growth stages,3,Crop & Plant
nrri rice varieties,3,Crop & Plant
rice growing areas,3,Crop & Plant
smart sensors,3,Miscellaneous
rice production systems,3,Crop & Plant
nucleotide sequence,3,Miscellaneous
snorkel2,3,Miscellaneous
rice genome,3,Crop & Plant
salt stress,3,Abiotic Stress
rice technologies,3,Crop & Plant
rice processing,3,Crop & Plant
neem oil cake,3,Miscellaneous
rice protoplast,3,Crop & Plant
rhizosphere,3,Miscellaneous
sativa complex,3,Miscellaneous
pest management,3,Insect Pests
production technologies,3,Miscellaneous
panicle weight,3,Morphological Traits
production,3,Miscellaneous
private institutions,3,Miscellaneous
premium seed,3,Seed Science
si nano particles,3,Miscellaneous
seed vigor traits,3,Seed Science
precision,3,Miscellaneous
populations,3,Miscellaneous
seed yield,3,Yield & Productivity
polished rice,3,Crop & Plant
poaceae,3,Miscellaneous
pleuroticola,3,Miscellaneous
pakistan,3,Miscellaneous
seedling vigour traits,3,Growth & Development
sensitive spectral regions,3,Miscellaneous
pest resistance,3,Insect Pests
plant pathogen infestation,3,Crop & Plant
pest surveillance,3,Insect Pests
sensitivity analysis,3,Miscellaneous
ses score,3,Miscellaneous
sheath blight resistance,3,Abiotic Stress
pigeon pea,3,Miscellaneous
phenol,3,Miscellaneous
phylogenetic relationship,3,Genetics & Genomics
phosphine,3,Miscellaneous
panel population,3,Miscellaneous
seed quality traits,3,Grain Quality & Nutrition
nutrient uptake,3,Miscellaneous
reproductive stage,3,Miscellaneous
nutritional properties,3,Grain Quality & Nutrition
rice earhead bug,3,Crop & Plant
rice canopies,3,Crop & Plant
small farm mechanization,3,Miscellaneous
rice agriculture,3,Crop & Plant
oil quality,3,Grain Quality & Nutrition
optimal bands,3,Miscellaneous
rfs,3,Miscellaneous
resource conservation technologies,3,Miscellaneous
residue dynamics,3,Miscellaneous
oryza sativa,3,Miscellaneous
reproductive stage drought,3,Abiotic Stress
released varieties,3,Varieties & Cultivars
pul,3,Miscellaneous
recurrent parent,3,Miscellaneous
oscca1,3,Miscellaneous
ratna,3,Miscellaneous
rathindofil industries,3,Miscellaneous
rajalaxmi,3,Miscellaneous
otypes,3,Miscellaneous
seed germination traits,3,Growth & Development
silica grooves,3,Miscellaneous
quantitative traits,3,Miscellaneous
silica content,3,Miscellaneous
pullulanase,3,Miscellaneous
paddy fields,3,Crop & Plant
nano silica,3,Miscellaneous
2050,3,Miscellaneous
mwd,3,Miscellaneous
union territories,3,Miscellaneous
dry matter,3,Miscellaneous
dpph inhibition,3,Miscellaneous
trichoderma erinaceum,3,Biocontrol
doubled haploid breeding,3,Plant Breeding
dosage effect,3,Miscellaneous
diversification,3,Miscellaneous
trichoderma nrri formulation,3,Biocontrol
distribution,3,Miscellaneous
disease resistance,3,Diseases
disease management,3,Diseases
disease incidence,3,Diseases
dhenkanal districts,3,Miscellaneous
degradation efficiency,3,Miscellaneous
tetracycline,3,Miscellaneous
cyanobacteria,3,Miscellaneous
cuttack district,3,Miscellaneous
university students,3,Research & Education
culm strength,3,Miscellaneous
crurrs,3,Miscellaneous
crri barta,3,Institutions
upland rice,3,Crop & Plant
crop management,3,Crop & Plant
cr dhan 811,3,Miscellaneous
cr dhan 807,3,Miscellaneous
cr dhan 801,3,Miscellaneous
cr dhan 604,3,Miscellaneous
transient dormancy,3,Miscellaneous
economics,3,Economics & Policy
editing,3,Miscellaneous
effective tillers,3,Morphological Traits
functional allele,3,Genetics & Genomics
front line demonstrations,3,Miscellaneous
fpos,3,Miscellaneous
forest cover,3,Miscellaneous
foliar application,3,Miscellaneous
texture,3,Miscellaneous
flavonoid content,3,Miscellaneous
fish species,3,Miscellaneous
fertile grains,3,Miscellaneous
fenpropathrin,3,Miscellaneous
tnpb,3,Miscellaneous
farmwomen,3,Miscellaneous
farming system models,3,Agronomy
tolerant alleles,3,Genetics & Genomics
farm mechanization,3,Miscellaneous
total amylase,3,Miscellaneous
false smut pathogen,3,Diseases
export,3,Miscellaneous
essential oil,3,Miscellaneous
energy cost,3,Miscellaneous
endosperm,3,Miscellaneous
elite breeding lines,3,Plant Breeding
elephant foot yam,3,Miscellaneous
electronic circuit,3,Miscellaneous
egg parasitoid,3,Biocontrol
cr dhan 331,3,Miscellaneous
vegetative stage drought stress,3,Abiotic Stress
cr 1014,3,Miscellaneous
weh yield,3,Yield & Productivity
aus accessions,3,Germplasm & Genetic Resources
ass,3,Miscellaneous
artificial inoculation,3,Miscellaneous
aromatic rice,3,Crop & Plant
area effect,3,Miscellaneous
arc 5848,3,Miscellaneous
antioxidant properties,3,Miscellaneous
antioxidant compounds,3,Miscellaneous
androgenic protocol,3,Miscellaneous
anaerobic germination potential,3,Growth & Development
amino acids,3,Miscellaneous
amf inoculum,3,Biocontrol
alpha amylase activity,3,Miscellaneous
wta,3,Miscellaneous
agpase,3,Miscellaneous
agniastra,3,Miscellaneous
yield effect,3,Yield & Productivity
aerenchyma formation,3,Miscellaneous
adult emergence,3,Miscellaneous
adoptive trials,3,Miscellaneous
adlr,3,Miscellaneous
adar,3,Miscellaneous
ack,3,Miscellaneous
yield instability,3,Yield & Productivity
yield reduction,3,Yield & Productivity
aus rice accessions,3,Crop & Plant
weedy plots,3,Weed Management
control zones,3,Miscellaneous
balangir,3,Miscellaneous
commercialization,3,Miscellaneous
climate smart agricultural technologies,3,Climate & Environment
chlorpyriphos,3,Miscellaneous
chlorantraniliprole,3,Miscellaneous
china,3,Miscellaneous
carbon footprint,3,Miscellaneous
carbon dioxide flux,3,Miscellaneous
calibration,3,Miscellaneous
weather variables,3,Miscellaneous
broadleaved weeds,3,Weed Management
broad spectrum weed control,3,Weed Management
breeding programme,3,Plant Breeding
blast r genes,3,Genetics & Genomics
black gora,3,Miscellaneous
bispyribac sodium,3,Miscellaneous
biomass production ability,3,Miscellaneous
biomass accumulation,3,Miscellaneous
biofortified varieties,3,Varieties & Cultivars
weed management strategies,3,Weed Management
bioethanol,3,Miscellaneous
biocontrol,3,Miscellaneous
biochemistry,3,Miscellaneous
bhramastra,3,Miscellaneous
base editing,3,Miscellaneous
bargarh accession,3,Germplasm & Genetic Resources
gene,3,Genetics & Genomics
farming communities,3,Agronomy
termites,3,Miscellaneous
interaction effect,3,Miscellaneous
kvks,3,Institutions
kharif 2024,3,Miscellaneous
kharif 2021,3,Miscellaneous
kalajeera,3,Miscellaneous
japonica ecotypes,3,Miscellaneous
jagatsinghpur district,3,Miscellaneous
irrigation scheduling,3,Water Management
irrigated areas,3,Miscellaneous
irgc,3,Miscellaneous
ir 72,3,Miscellaneous
ion exclusion,3,Miscellaneous
insects,3,Miscellaneous
sugarcane,3,Miscellaneous
insecticide,3,Miscellaneous
genetic variability,3,Genetics & Genomics
inoculation,3,Miscellaneous
indica rice,3,Crop & Plant
indian isolates,3,Geography
incertulas,3,Miscellaneous
imazethapyr application,3,Miscellaneous
iirs,3,Miscellaneous
structural diversity,3,Miscellaneous
sub1a,3,Miscellaneous
rtbv isolate,3,Miscellaneous
land productivity,3,Yield & Productivity
landrace,3,Germplasm & Genetic Resources
standardized precipitation index,3,Miscellaneous
standardized,3,Miscellaneous
mqtl,3,Miscellaneous
soil water potential,3,Water Management
mineral bioavailability,3,Miscellaneous
milling,3,Miscellaneous
milled rice,3,Crop & Plant
microwave stabilization,3,Miscellaneous
spcas9,3,Miscellaneous
microbial activities,3,Miscellaneous
microbes,3,Miscellaneous
methane emissions,3,Miscellaneous
2080,3,Miscellaneous
spiders,3,Miscellaneous
maximum increment,3,Miscellaneous
mating type,3,Miscellaneous
markers,3,Miscellaneous
marginal farmers,3,Miscellaneous
mapping populations,3,Miscellaneous
mapping population,3,Miscellaneous
manhattan plot,3,Miscellaneous
lowlight condition,3,Miscellaneous
lowland ecosystem,3,Climate & Environment
liquid formulation,3,Miscellaneous
lignin,3,Miscellaneous
husk,3,Miscellaneous
insect pest,3,Insect Pests
groundwater depletion,3,Water Management
grains,3,Miscellaneous
haploids,3,Miscellaneous
han,3,Miscellaneous
gwas,3,Miscellaneous
gundhi bug,3,Miscellaneous
growth enhancement,3,Miscellaneous
higher,3,Miscellaneous
groundnut crop,3,Crop & Plant
greenseeker,3,Miscellaneous
green gram,3,Miscellaneous
grain yield advantage,3,Yield & Productivity
hardness,3,Miscellaneous
grain development,3,Miscellaneous
grain,3,Miscellaneous
gn1a,3,Miscellaneous
glyphosate tolerance,3,Miscellaneous
glyphosate,3,Miscellaneous
tapaswini,3,Miscellaneous
germination rate,3,Growth & Development
germination percentage,3,Growth & Development
germination pattern,3,Growth & Development
haplotype analysis,3,Miscellaneous
subsidies,3,Miscellaneous
high photosynthetic rate,3,Miscellaneous
high grain number,3,Miscellaneous
heavy panicle,3,Morphological Traits
high temperature stress,3,Abiotic Stress
high head rice recovery,3,Crop & Plant
high tiller number,3,Morphological Traits
xenobiotics metabolism,2,Biotic Stress
submergence tolerance ability,2,Abiotic Stress
unique genes,2,Genetics & Genomics
salinity micro plot,2,Abiotic Stress
wild rice germplasm accessions,2,Crop & Plant
shoot length,2,Miscellaneous
spectral bands,2,Miscellaneous
targeted breeding,2,Plant Breeding
system yield,2,Yield & Productivity
snp,2,Miscellaneous
sd1 genes,2,Genetics & Genomics
snorkel1,2,Miscellaneous
susceptible cultivars,2,Varieties & Cultivars
yellow stem borer damage,2,Insect Pests
susceptible checks,2,Miscellaneous
tolerant landraces,2,Germplasm & Genetic Resources
source strength,2,Miscellaneous
zinc finger protein,2,Grain Quality & Nutrition
textural properties,2,Miscellaneous
yield performance,2,Yield & Productivity
soil viruses,2,Miscellaneous
temperature,2,Miscellaneous
yield growth,2,Yield & Productivity
southern blot analysis,2,Miscellaneous
ultrasonic sound stimuli,2,Miscellaneous
socioeconomic research,2,Research & Education
rubisco,2,Miscellaneous
rufipogon,2,Miscellaneous
spad meter,2,Miscellaneous
trna genes,2,Genetics & Genomics
saline water flooding,2,Abiotic Stress
stress tolerant varieties,2,Varieties & Cultivars
vegetative stage drought,2,Abiotic Stress
soil quality,2,Grain Quality & Nutrition
volatile profiles,2,Miscellaneous
trait discovery,2,Miscellaneous
sustainable practices,2,Miscellaneous
sippdk,2,Miscellaneous
transport ability,2,Miscellaneous
sativa species complex,2,Miscellaneous
sink strength,2,Miscellaneous
shallow lowland ecology,2,Ecology & Biodiversity
salt tolerance,2,Miscellaneous
silver nanoparticles,2,Miscellaneous
viviparous germination,2,Growth & Development
shallow lowland ecosystem,2,Climate & Environment
silica solubilizing bacteria,2,Miscellaneous
translocation events,2,Miscellaneous
straw yield,2,Yield & Productivity
stored grain pest management,2,Insect Pests
stms markers,2,Miscellaneous
streptomyces caeruleatus s14,2,Miscellaneous
total antioxidants,2,Miscellaneous
ssp,2,Miscellaneous
weedy rice,2,Crop & Plant
svrc,2,Miscellaneous
upstream expression,2,Miscellaneous
salkathi,2,Miscellaneous
seed supply,2,Seed Science
total chlorophyll content,2,Physiology
seed germination percentage,2,Growth & Development
total flavonoids,2,Miscellaneous
stigma exsertion,2,Miscellaneous
variable ploids,2,Miscellaneous
total root length,2,Morphological Traits
tpc,2,Miscellaneous
varshadhan sub1,2,Miscellaneous
surface root area,2,Morphological Traits
medium slender grain,2,Miscellaneous
root growth,2,Morphological Traits
estimated grain yield,2,Yield & Productivity
enzyme activity,2,Miscellaneous
environmental sustainability,2,Climate & Environment
enhanced productivity,2,Yield & Productivity
energy balance components,2,Miscellaneous
ems,2,Miscellaneous
elite lines,2,Miscellaneous
early seedling vigour,2,Growth & Development
dual stigma exsertion,2,Miscellaneous
dsr conditions,2,Miscellaneous
dry season,2,Miscellaneous
down stream expression,2,Miscellaneous
doubled haploid technologies,2,Miscellaneous
doubled haploid production,2,Miscellaneous
diverse,2,Miscellaneous
direct seeded rice,2,Crop & Plant
digital database,2,Miscellaneous
dhs technology,2,Miscellaneous
developmental duration,2,Miscellaneous
detection frequency,2,Miscellaneous
derivative analysis,2,Miscellaneous
denovo sequencing,2,Miscellaneous
dead heart,2,Miscellaneous
cut,2,Miscellaneous
cssls,2,Miscellaneous
crop transplanted,2,Crop & Plant
epfl9,2,Miscellaneous
